epoch,train_loss,train_recall,train_accuracy,test_loss,test_recall,test_accuracy
0,2.173419,0.126,0.35144,2.1741714,0.122,0.3562
1,2.0883174,0.3612,0.60058,2.090475,0.344,0.5898
2,2.0538125,0.5168,0.6615,2.0586371,0.476,0.6434
3,2.0114563,0.652,0.71946,2.018471,0.601,0.6948
4,2.0122077,0.6248,0.7742,2.021472,0.551,0.745
5,1.9784172,0.8036,0.82468,1.9904473,0.698,0.7867
6,1.9681705,0.8062,0.82158,1.9797804,0.726,0.7798
7,1.9587628,0.9146,0.84288,1.9760461,0.83,0.7881
8,1.939633,0.8252,0.82998,1.9587617,0.716,0.778
9,1.923095,0.9064,0.87846,1.9449121,0.774,0.8082
10,1.9068948,0.958,0.88978,1.9296808,0.842,0.8211
11,1.8908012,0.9504,0.90758,1.9192859,0.79,0.8251
12,1.8583103,0.9604,0.93822,1.890904,0.781,0.8431
13,1.8698863,0.7936,0.9022,1.9015951,0.575,0.8143
14,1.8763654,0.7996,0.88702,1.9077308,0.585,0.802
15,1.8249754,0.9362,0.95866,1.8680053,0.675,0.8482
16,1.8123636,0.9958,0.93584,1.8548468,0.876,0.832
17,1.8057245,0.9566,0.96062,1.850328,0.716,0.8476
18,1.7994719,0.9294,0.95446,1.8492699,0.674,0.8337
19,1.7875506,0.8136,0.95642,1.8400738,0.472,0.8336
20,1.7764441,0.9888,0.93806,1.8259571,0.842,0.8237
21,1.7629513,0.981,0.96816,1.8173764,0.756,0.8433
22,1.7739075,0.953,0.95422,1.8278008,0.703,0.8368
23,1.7466073,0.9958,0.95542,1.8055332,0.856,0.8307
24,1.7289819,0.985,0.98416,1.7876451,0.731,0.8598
25,1.7202466,0.9964,0.9735,1.7817715,0.843,0.8436
26,1.7041266,0.9938,0.99004,1.7708814,0.756,0.8586
27,1.7176632,0.9896,0.97586,1.7810796,0.75,0.8435
28,1.7064987,0.9986,0.98464,1.7705461,0.818,0.8582
29,1.697847,0.998,0.9851,1.7652526,0.807,0.8553
30,1.695581,0.9952,0.9812,1.7637386,0.794,0.8498
31,1.6849551,0.9984,0.9908,1.7569422,0.81,0.8552
32,1.6875147,0.9904,0.9872,1.756921,0.73,0.8562
33,1.6728206,0.9928,0.98704,1.7435728,0.747,0.8567
34,1.6734517,0.9914,0.98972,1.7453105,0.727,0.8579
35,1.6594797,0.9992,0.99472,1.7316672,0.832,0.8636
36,1.6659833,0.9996,0.99026,1.7385367,0.827,0.8548
37,1.6565053,1.0,0.98796,1.7307899,0.876,0.8603
38,1.6494619,0.9998,0.99364,1.7269773,0.838,0.864
39,1.6495912,0.992,0.99274,1.7227539,0.73,0.8611
40,1.6757562,0.9984,0.97038,1.751232,0.806,0.834
41,1.6496483,0.9292,0.98566,1.7279395,0.575,0.8525
42,1.6503606,0.9956,0.9901,1.7261248,0.747,0.8561
43,1.6401175,0.996,0.9951,1.7155639,0.742,0.8659
44,1.6482193,0.9978,0.99594,1.7272698,0.762,0.8638
45,1.6273042,0.998,0.99742,1.7034652,0.757,0.8726
46,1.6445309,0.9964,0.98804,1.7221872,0.804,0.849
